Authors,Title,Year,Source title,Link,Abstract
"Schnabel T., Swaminathan A., Singh A., Chandak N., Joachims T.","Recommendations as treatments: Debiasing learning and evaluation",2016,"Recommendations As Treatments: Debiasing Learning and Evaluation",,[No abstract available]
"Biega A.J., Gummadi K.P., Weikum G.","Equity of attention: Amortizing individual fairness in rankings",2018,"41st International ACM SIGIR Conference on Research and Development in Information Retrieval, SIGIR 2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051552737&doi=10.1145%2f3209978.3210063&partnerID=40&md5=dc7ae83319d19725bcfbf2f9cea53035","Rankings of people and items are at the heart of selection-making, match-making, and recommender systems, ranging from employment sites to sharing economy platforms. As ranking positions influence the amount of attention the ranked subjects receive, biases in rankings can lead to unfair distribution of opportunities and resources such as jobs or income. This paper proposes new measures and mechanisms to quantify and mitigate unfairness from a bias inherent to all rankings, namely, the position bias which leads to disproportionately less attention being paid to low-ranked subjects. Our approach differs from recent fair ranking approaches in two important ways. First, existing works measure unfairness at the level of subject groups while our measures capture unfairness at the level of individual subjects, and as such subsume group unfairness. Second, as no single ranking can achieve individual attention fairness, we propose a novel mechanism that achieves amortized fairness, where attention accumulated across a series of rankings is proportional to accumulated relevance. We formulate the challenge of achieving amortized individual fairness subject to constraints on ranking quality as an online optimization problem and show that it can be solved as an integer linear program. Our experimental evaluation reveals that unfair attention distribution in rankings can be substantial, and demonstrates that our method can improve individual fairness while retaining high ranking quality. © 2018 ACM."
"Tang J., Gao H., Liu H.","MTrust: Discerning multi-faceted trust in a connected world",2012,"WSDM 2012 - Proceedings of the 5th ACM International Conference on Web Search and Data Mining","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863251494&doi=10.1145%2f2124295.2124309&partnerID=40&md5=d73f165d2482aa5c346c48ea084336fc","Traditionally, research about trust assumes a single type of trust between users. However, trust, as a social concept, inherently has many facets indicating multiple and heterogeneous trust relationships between users. Due to the presence of a large trust network for an online user, it is necessary to discern multi-faceted trust as there are naturally experts of different types. Our study in product review sites reveals that people place trust differently to different people. Since the widely used adjacency matrix cannot capture multi-faceted trust relationships between users, we propose a novel approach by incorporating these relationships into traditional rating prediction algorithms to reliably estimate their strengths. Our work results in interesting findings such as heterogeneous pairs of reciprocal links. Experimental results on real-world data from Epinions and Ciao show that our work of discerning multi-faceted trust can be applied to improve the performance of tasks such as rating prediction, facet-sensitive ranking, and status theory. Copyright 2012 ACM."
"Liang D., Charlin L., McInerney J., Blei D.M.","Modeling user exposure in recommendation",2016,"25th International World Wide Web Conference, WWW 2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991238294&doi=10.1145%2f2872427.2883090&partnerID=40&md5=d27a751e30ad312f0be9da477d9c6fd7","Collaborative -ltering analyzes user preferences for items (e.g., books, movies, restaurants, academic papers) by exploiting the similarity patterns across users. In implicit feedback settings, all the items, including the ones that a user did not consume, are taken into consideration. But this assumption does not accord with the common sense understanding that users have a limited scope and awareness of items. For example, a user might not have heard of a certain paper, or might live too far away from a restaurant to experience it. In the language of causal analysis [9], the assignment mechanism (i.e., the items that a user is exposed to) is a latent variable that may change for various user/item combinations. In this paper, we propose a new probabilistic approach that directly incorporates user exposure to items into collaborative ffltering. The exposure is modeled as a latent variable and the model infers its value from data. In doing so, we recover one of the most successful state-of-Theart approaches as a special case of our model [8], and provide a plug-in method for conditioning exposure on various forms of exposure covariates (e.g., topics in text, venue locations). We show that our scalable inference algorithm outperforms existing benchmarks in four difierent domains both with and without exposure covariates."
"Ma X., Zhao L., Huang G., Wang Z., Hu Z., Zhu X., Gai K.","Entire space multi-task model: An effective approach for estimating post-click conversion rate",2018,"41st International ACM SIGIR Conference on Research and Development in Information Retrieval, SIGIR 2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051518688&doi=10.1145%2f3209978.3210104&partnerID=40&md5=782618d3819e0c9c8ade27566794ed1b","Estimating post-click conversion rate (CVR) accurately is crucial for ranking systems in industrial applications such as recommendation and advertising. Conventional CVR modeling applies popular deep learning methods and achieves state-of-the-art performance. However it encounters several task-specific problems in practice, making CVR modeling challenging. For example, conventional CVR models are trained with samples of clicked impressions while utilized to make inference on the entire space with samples of all impressions. This causes a sample selection bias problem. Besides, there exists an extreme data sparsity problem, making the model fitting rather difficult. In this paper, we model CVR in a brand-new perspective by making good use of sequential pattern of user actions, i.e., impression -> click -> conversion. The proposed Entire Space Multi-task Model (ESMM) can eliminate the two problems simultaneously by i) modeling CVR directly over the entire space, ii) employing a feature representation transfer learning strategy. Experiments on dataset gathered from Taobao's recommender system demonstrate that ESMM significantly outperforms competitive methods. We also release a sampling version of this dataset to enable future research. To the best of our knowledge, this is the first public dataset which contains samples with sequential dependence of click and conversion labels for CVR modeling. © 2018 ACM."
"Abdollahpouri H., Burke R., Mobasher B.","Controlling popularity bias in learning-to-rank recommendation",2017,"RecSys 2017 - Proceedings of the 11th ACM Conference on Recommender Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029218088&doi=10.1145%2f3109859.3109912&partnerID=40&md5=71b0a4a2ae3cd7e0153706af58225909","Many recommendation algorithms su.er from popularity bias in their output: popular items are recommended frequently and less popular ones rarely, if at all. However, less popular, long-tail items are precisely those that are often desirable recommendations. In this paper, we introduce a flexible regularization-based framework to enhance the long-tail coverage of recommendation lists in a learning-to-rank algorithm. We show that regularization provides a tunable mechanism for controlling the trade-off between accuracy and coverage. Moreover, the experimental results using two data sets show that it is possible to improve coverage of long tail items without substantial loss of ranking performance. © 2017 ACM."
"Chen M., Beutel A., Covington P., Jain S., Belletti F., Chi E.H.","Top-k off-policy correction for a reinforce recommender system",2019,"WSDM 2019 - Proceedings of the 12th ACM International Conference on Web Search and Data Mining","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061700856&doi=10.1145%2f3289600.3290999&partnerID=40&md5=373a22b4cd93662e5877989c9f965e2a","Industrial recommender systems deal with extremely large action spaces - many millions of items to recommend. Moreover, they need to serve billions of users, who are unique at any point in time, making a complex user state space. Luckily, huge quantities of logged implicit feedback (e.g., user clicks, dwell time) are available for learning. Learning from the logged feedback is however subject to biases caused by only observing feedback on recommendations selected by the previous versions of the recommender. In this work, we present a general recipe of addressing such biases in a production top-K recommender system at YouTube, built with a policy-gradient-based algorithm, i.e. REINFORCE [48]. The contributions of the paper are: (1) scaling REINFORCE to a production recommender system with an action space on the orders of millions; (2) applying off-policy correction to address data biases in learning from logged feedback collected from multiple behavior policies; (3) proposing a novel top-K off-policy correction to account for our policy recommending multiple items at a time; (4) showcasing the value of exploration. We demonstrate the efficacy of our approaches through a series of simulations and multiple live experiments on YouTube. © 2019 held by the owner/author(s)."
"Steck H.","Training and testing of recommender systems on data missing not at random",2010,"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956208065&doi=10.1145%2f1835804.1835895&partnerID=40&md5=837b937e97b53e986b855177b30bf914","Users typically rate only a small fraction of all available items. We show that the absence of ratings carries useful information for improving the top-k hit rate concerning all items, a natural accuracy measure for recommendations. As to test recommender systems, we present two performance measures that can be estimated, under mild assumptions, without bias from data even when ratings are missing not at random (MNAR). As to achieve optimal test results, we present appropriate surrogate objective functions for efficient training on MNAR data. Their main property is to account for all ratings-whether observed or missing in the data. Concerning the top-k hit rate on test data, our experiments indicate dramatic improvements over even sophisticated methods that are optimized on observed ratings only. © 2010 ACM."
"Shen Zheyan, Liu Jiashuo, He Yue, Zhang Xingxuan, Xu Renzhe, Yu Han, Cui Peng",[No title available],2021,"Towards out-of-distribution generalization: A survey",,[No abstract available]
"Zhang H., Shen F., Liu W., He X., Luan H., Chua T.-S.","Discrete collaborative filtering",2016,"SIGIR 2016 - Proceedings of the 39th International ACM SIGIR Conference on Research and Development in Information Retrieval","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980322368&doi=10.1145%2f2911451.2911502&partnerID=40&md5=2cfd00ae4a58b90a34618fb7616d2de3","We address the efficiency problem of Collaborative Filtering (CF) by hashing users and items as latent vectors in the form of binary codes, so that user-item affinity can be efficiently calculated in a Hamming space. However, existing hashing methods for CF employ binary code learning procedures that most suffer from the challenging discrete constraints. Hence, those methods generally adopt a two-stage learning scheme composed of relaxed optimization via discarding the discrete constraints, followed by binary quantization. We argue that such a scheme will result in a large quantization loss, which especially compromises the performance of large-scale CF that resorts to longer binary codes. In this paper, we propose a principled CF hashing framework called Discrete Collaborative Filtering (DCF), which directly tackles the challenging discrete optimization that should have been treated adequately in hashing. The formulation of DCF has two advantages: 1) the Hamming similarity induced loss that preserves the intrinsic user-item similarity, and 2) the balanced and uncorrelated code constraints that yield compact yet informative binary codes. We devise a computationally efficient algorithm with a rigorous convergence proof of DCF. Through extensive experiments on several real-world benchmarks, we show that DCF consistently outperforms state-of-the-art CF hashing techniques, e.g., though using only 8 bits, DCF is even significantly better than other methods using 128 bits. © 2016 ACM."
"Zhao X., Xia L., Zhang L., Ding Z., Yin D., Tang J.","Deep reinforcement learning for page-wise recommendations",2018,"RecSys 2018 - 12th ACM Conference on Recommender Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056760664&doi=10.1145%2f3240323.3240374&partnerID=40&md5=9b2ef631fd77ac16e60e80b40d816346","Recommender systems can mitigate the information overload problem by suggesting users' personalized items. In real-world recommendations such as e-commerce, a typical interaction between the system and its users is - users are recommended a page of items and provide feedback; and then the system recommends a new page of items. To effectively capture such interaction for recommendations, we need to solve two key problems - (1) how to update recommending strategy according to user's real-time feedback, and 2) how to generate a page of items with proper display, which pose tremendous challenges to traditional recommender systems. In this paper, we study the problem of page-wise recommendations aiming to address aforementioned two challenges simultaneously. In particular, we propose a principled approach to jointly generate a set of complementary items and the corresponding strategy to display them in a 2-D page; and propose a novel page-wise recommendation framework based on deep reinforcement learning, DeepPage, which can optimize a page of items with proper display based on real-time feedback from users. The experimental results based on a real-world e-commerce dataset demonstrate the effectiveness of the proposed framework. © 2018 Association for Computing Machinery."
"Beutel A., Chen J., Doshi T., Qian H., Wei L., Wu Y., Heldt L., Zhao Z., Hong L., Chi E.H., Goodrow C.","Fairness in recommendation ranking through pairwise comparisons",2019,"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071197442&doi=10.1145%2f3292500.3330745&partnerID=40&md5=53cebcaf495da63170df316af98cf87b","Recommender systems are one of the most pervasive applications of machine learning in industry, with many services using them to match users to products or information. As such it is important to ask: what are the possible fairness risks, how can we quantify them, and how should we address them? In this paper we offer a set of novel metrics for evaluating algorithmic fairness concerns in recommender systems. In particular we show how measuring fairness based on pairwise comparisons from randomized experiments provides a tractable means to reason about fairness in rankings from recommender systems. Building on this metric, we offer a new regularizer to encourage improving this metric during model training and thus improve fairness in the resulting rankings. We apply this pairwise regularization to a large-scale, production recommender system and show that we are able to significantly improve the system's pairwise fairness. © 2019 Copyright held by the owner/author(s)."
"Zhao X., Xia L., Zhang L., Tang J., Ding Z., Yin D.","Recommendations with negative feedback via pairwise deep reinforcement learning",2018,"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051481127&doi=10.1145%2f3219819.3219886&partnerID=40&md5=dbb3d134e549597db6f1575d747695fc","Recommender systems play a crucial role in mitigating the problem of information overload by suggesting users' personalized items or services. The vast majority of traditional recommender systems consider the recommendation procedure as a static process and make recommendations following a fixed strategy. In this paper, we propose a novel recommender system with the capability of continuously improving its strategies during the interactions with users. We model the sequential interactions between users and a recommender system as a Markov Decision Process (MDP) and leverage Reinforcement Learning (RL) to automatically learn the optimal strategies via recommending trial-and-error items and receiving reinforcements of these items from users' feedback. Users' feedback can be positive and negative and both types of feedback have great potentials to boost recommendations. However, the number of negative feedback is much larger than that of positive one; thus incorporating them simultaneously is challenging since positive feedback could be buried by negative one. In this paper, we develop a novel approach to incorporate them into the proposed deep recommender system (DEERS) framework. The experimental results based on real-world e-commerce data demonstrate the effectiveness of the proposed framework. Further experiments have been conducted to understand the importance of both positive and negative feedback in recommendations. © 2018 Association for Computing Machinery."
"Marlin B.M., Zemel R.S.","Collaborative prediction and ranking with non-random missing data",2009,"RecSys'09 - Proceedings of the 3rd ACM Conference on Recommender Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-72249101936&doi=10.1145%2f1639714.1639717&partnerID=40&md5=1b12941d8cc91ff6f4387a963939ffda","A fundamental aspect of rating-based recommender systems is the observation process, the process by which users choose the items they rate. Nearly all research on collaborative filtering and recommender systems is founded on the assumption that missing ratings are missing at random. The statistical theory of missing data shows that incorrect assumptions about missing data can lead to biased parameter estimation and prediction. In a recent study, we demonstrated strong evidence for violations of the missing at random condition in a real recommender system. In this paper we present the first study of the effect of non-random missing data on collaborative ranking, and extend our previous results regarding the impact of non-random missing data on collaborative prediction. Copyright 2009 ACM."
"Geyik S.C., Ambler S., Kenthapadi K.","Fairness-aware ranking in search & recommendation systems with application to linkedin talent search",2019,"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071153136&doi=10.1145%2f3292500.3330691&partnerID=40&md5=050e9c6079ee06e2aae49d838e09bbe7","We present a framework for quantifying and mitigating algorithmic bias in mechanisms designed for ranking individuals, typically used as part of web-scale search and recommendation systems. We first propose complementary measures to quantify bias with respect to protected attributes such as gender and age. We then present algorithms for computing fairness-aware re-ranking of results. For a given search or recommendation task, our algorithms seek to achieve a desired distribution of top ranked results with respect to one or more protected attributes. We show that such a framework can be tailored to achieve fairness criteria such as equality of opportunity and demographic parity depending on the choice of the desired distribution. We evaluate the proposed algorithms via extensive simulations over different parameter choices, and study the effect of fairness-aware ranking on both bias and utility measures. We finally present the online A/B testing results from applying our framework towards representative ranking in LinkedIn Talent Search, and discuss the lessons learned in practice. Our approach resulted in tremendous improvement in the fairness metrics (nearly three fold increase in the number of search queries with representative results) without affecting the business metrics, which paved the way for deployment to 100% of LinkedIn Recruiter users worldwide. Ours is the first large-scale deployed framework for ensuring fairness in the hiring domain, with the potential positive impact for more than 630M LinkedIn members. © 2019 Association for Computing Machinery."
"Yao S., Huang B.","Beyond parity: Fairness objectives for collaborative filtering",2017,"Advances in Neural Information Processing Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046998283&partnerID=40&md5=73232f4f3a033b2bd5dbdd5241987c99","We study fairness in collaborative-filtering recommender systems, which are sensitive to discrimination that exists in historical data. Biased data can lead collaborative-filtering methods to make unfair predictions for users from minority groups. We identify the insufficiency of existing fairness metrics and propose four new metrics that address different forms of unfairness. These fairness metrics can be optimized by adding fairness terms to the learning objective. Experiments on synthetic and real data show that our new metrics can better measure fairness than the baseline, and that the fairness objectives effectively help reduce unfairness. © 2017 Neural information processing systems foundation. All rights reserved."
"Zhang Y., Feng F., He X., Wei T., Song C., Ling G., Zhang Y.","Causal Intervention for Leveraging Popularity Bias in Recommendation",2021,"SIGIR 2021 - Proceedings of the 44th International ACM SIGIR Conference on Research and Development in Information Retrieval","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107977886&doi=10.1145%2f3404835.3462875&partnerID=40&md5=902b37537da2dbf3141616347dd77481","Recommender system usually faces popularity bias issues: from the data perspective, items exhibit uneven (usually long-tail) distribution on the interaction frequency; from the method perspective, collaborative filtering methods are prone to amplify the bias by over-recommending popular items. It is undoubtedly critical to consider popularity bias in recommender systems, and existing work mainly eliminates the bias effect with propensity-based unbiased learning or causal embeddings. However, we argue that not all biases in the data are bad, \ie some items demonstrate higher popularity because of their better intrinsic quality. Blindly pursuing unbiased learning may remove the beneficial patterns in the data, degrading the recommendation accuracy and user satisfaction. This work studies an unexplored problem in recommendation - - how to leverage popularity bias to improve the recommendation accuracy. The key lies in two aspects: how to remove the bad impact of popularity bias during training, and how to inject the desired popularity bias in the inference stage that generates top-K recommendations. This questions the causal mechanism of the recommendation generation process. Along this line, we find that item popularity plays the role ofconfounder between the exposed items and the observed interactions, causing the bad effect of bias amplification. To achieve our goal, we propose a new training and inference paradigm for recommendation named Popularity-bias Deconfounding and Adjusting (PDA). It removes the confounding popularity bias in model training and adjusts the recommendation score with desired popularity bias via causal intervention. We demonstrate the new paradigm on the latent factor model and perform extensive experiments on three real-world datasets from Kwai, Douban, and Tencent. Empirical studies validate that the deconfounded training is helpful to discover user real interests and the inference adjustment with popularity bias could further improve the recommendation accuracy. We release our code at https://github.com/zyang1580/PDA. © 2021 ACM."
"Swaminathan A., Joachims T.","Batch learning from logged bandit feedback through counterfactual risk minimization",2015,"Journal of Machine Learning Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962231719&partnerID=40&md5=17988650cdf319212a53c7cb436f4f2e","We develop a learning principle and an efficient algorithm for batch learning from logged bandit feedback. This learning setting is ubiquitous in online systems (e.g., ad placement, web search, recommendation), where an algorithm makes a prediction (e.g., ad ranking) for a given input (e.g., query) and observes bandit feedback (e.g., user clicks on presented ads). We first address the counterfactual nature of the learning problem (Bottou et al., 2013) through propensity scoring. Next, we prove generalization error bounds that account for the variance of the propensity-weighted empirical risk estimator. In analogy to the Structural Risk Minimization principle of Wapnik and Tscherwonenkis (1979), these constructive bounds give rise to the Counterfactual Risk Minimization (CRM) principle. We show how CRM can be used to derive a new learning method-called Policy Optimizer for Exponential Models (POEM)-for learning stochastic linear rules for structured output prediction. We present a decomposition of the POEM objective that enables efficient stochastic gradient optimization. The effectiveness and efficiency of POEM is evaluated on several simulated multi-label classification problems, as well as on a real-world information retrieval problem. The empirical results show that the CRM objective implemented in POEM provides improved robustness and generalization performance compared to the state-of-the-art. © 2015 Adith Swaminathan and Thorsten Joachims."
"Wang X., Bendersky M., Metzler D., Najork M.","Learning to rank with selection bias in personal search",2016,"SIGIR 2016 - Proceedings of the 39th International ACM SIGIR Conference on Research and Development in Information Retrieval","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980347492&doi=10.1145%2f2911451.2911537&partnerID=40&md5=abfb5835c3d4ef1c9f1eac21d61025f6","Click-through data has proven to be a critical resource for improving search ranking quality. Though a large amount of click data can be easily collected by search engines, various biases make it difficult to fully leverage this type of data. In the past, many click models have been proposed and successfully used to estimate the relevance for individual query-document pairs in the context of web search. These click models typically require a large quantity of clicks for each individual pair and this makes them difficult to apply in systems where click data is highly sparse due to personalized corpora and information needs, e.g., personal search. In this paper, we study the problem of how to leverage sparse click data in personal search and introduce a novel selection bias problem and address it in the learning-to-rank framework. This paper proposes a few bias estimation methods, including a novel query-dependent one that captures queries with similar results and can successfully deal with sparse data. We empirically demonstrate that learning-to-rank that accounts for query-dependent selection bias yields significant improvements in search effectiveness through online experiments with one of the world's largest personal search engines. © 2016 ACM."
"Zheng Y., Gao C., Li X., He X., Li Y., Jin D.","Disentangling user interest and conformity for recommendation with causal embedding",2021,"The Web Conference 2021 - Proceedings of the World Wide Web Conference, WWW 2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107966903&doi=10.1145%2f3442381.3449788&partnerID=40&md5=f1055cedba7d37e5536b5bd700f64740","Recommendation models are usually trained on observational interaction data. However, observational interaction data could result from users' conformity towards popular items, which entangles users' real interest. Existing methods tracks this problem as eliminating popularity bias, e.g., by re-weighting training samples or leveraging a small fraction of unbiased data. However, the variety of user conformity is ignored by these approaches, and different causes of an interaction are bundled together as unified representations, hence robustness and interpretability are not guaranteed when underlying causes are changing. In this paper, we present DICE, a general framework that learns representations where interest and conformity are structurally disentangled, and various backbone recommendation models could be smoothly integrated. We assign users and items with separate embeddings for interest and conformity, and make each embedding capture only one cause by training with cause-specific data which is obtained according to the colliding effect of causal inference. Our proposed methodology outperforms state-of-the-art baselines with remarkable improvements on two real-world datasets on top of various backbone models. We further demonstrate that the learned embeddings successfully capture the desired causes, and show that DICE guarantees the robustness and interpretability of recommendation. Â© 2021 ACM."
"Nabi R., Shpitser I.","Fair inference on outcomes",2018,"32nd AAAI Conference on Artificial Intelligence, AAAI 2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051223554&partnerID=40&md5=8ad9c32a622c862a5a734792c9bbfc0b","In this paper, we consider the problem of fair statistical inference involving outcome variables. Examples include classification and regression problems, and estimating treatment effects in randomized trials or observational data. The issue of fairness arises in such problems where some covariates or treatments are “sensitive,” in the sense of having potential of creating discrimination. In this paper, we argue that the presence of discrimination can be formalized in a sensible way as the presence of an effect of a sensitive covariate on the outcome along certain causal pathways, a view which generalizes (Pearl 2009). A fair outcome model can then be learned by solving a constrained optimization problem. We discuss a number of complications that arise in classical statistical inference due to this view and provide workarounds based on recent work in causal and semi-parametric inference. Copyright © 2018, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved."
"Wang X., Golbandi N., Bendersky M., Metzler D., Najork M.","Position bias estimation for unbiased learning to rank in personal search",2018,"WSDM 2018 - Proceedings of the 11th ACM International Conference on Web Search and Data Mining","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046969001&doi=10.1145%2f3159652.3159732&partnerID=40&md5=eb7975e8ce6db5134f59e42d70888b6c","A well-known challenge in learning from click data is its inherent bias and most notably position bias. Traditional click models aim to extract the (query, document) relevance and the estimated bias is usually discarded after relevance is extracted. In contrast, the most recent work on unbiased learning-to-rank can effectively leverage the bias and thus focuses on estimating bias rather than relevance [20, 31]. Existing approaches use search result randomization over a small percentage of production traffic to estimate the position bias. This is not desired because result randomization can negatively impact users' search experience. In this paper, we compare different schemes for result randomization (i.e., RandTopN and RandPair) and show their negative effect in personal search. Then we study how to infer such bias from regular click data without relying on randomization. We propose a regressionbased Expectation-Maximization (EM) algorithm that is based on a position bias click model and that can handle highly sparse clicks in personal search. We evaluate our EM algorithm and the extracted bias in the learning-to-rank setting. Our results show that it is promising to extract position bias from regular clicks without result randomization. The extracted bias can improve the learning-to-rank algorithms significantly. In addition, we compare the pointwise and pairwise learning-to-rank models. Our results show that pairwise models are more effective in leveraging the estimated bias. © 2018 Association for Computing Machinery."
"Mehrotra R., McInerney J., Bouchard H., Lalmas M., Diaz F.","Towards a fair marketplace: Counterfactual evaluation of the trade-off between relevance, fairness & satisfaction in recommendation systems",2018,"International Conference on Information and Knowledge Management, Proceedings","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058006573&doi=10.1145%2f3269206.3272027&partnerID=40&md5=011dcc299dd75a97fd8286f02e194bd3","Two-sided marketplaces are platforms that have customers not only on the demand side (e.g. users), but also on the supply side (e.g. retailer, artists). While traditional recommender systems focused specifically towards increasing consumer satisfaction by providing relevant content to consumers, two-sided marketplaces face the problem of additionally optimizing for supplier preferences, and visibility. Indeed, the suppliers would want a fair opportunity to be presented to users. Blindly optimizing for consumer relevance may have a detrimental impact on supplier fairness. Motivated by this problem, we focus on the trade-off between objectives of consumers and suppliers in the case of music streaming services, and consider the trade-off between relevance of recommendations to the consumer (i.e. user) and fairness of representation of suppliers (i.e. artists) and measure their impact on consumer satisfaction. We propose a conceptual and computational framework using counterfactual estimation techniques to understand, and evaluate different recommendation policies, specifically around the trade-off between relevance and fairness, without the need for running many costly A/B tests. We propose a number of recommendation policies which jointly optimize relevance and fairness, thereby achieving substantial improvement in supplier fairness without noticeable decline in user satisfaction. Additionally, we consider user disposition towards fair content, and propose a personalized recommendation policy which takes into account consumer's tolerance towards fair content. Our findings could guide the design of algorithms powering two-sided marketplaces, as well as guide future research on sophisticated algorithms for joint optimization of user relevance, satisfaction and fairness. © 2018 Association for Computing Machinery."
"Bonner S., Vasile F.","Causal embeddings for recommendation",2018,"RecSys 2018 - 12th ACM Conference on Recommender Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056763991&doi=10.1145%2f3240323.3240360&partnerID=40&md5=e96bc88d8c75b6259a238dcc6bc2fc04","Many current applications use recommendations in order to modify the natural user behavior, such as to increase the number of sales or the time spent on a website. This results in a gap between the final recommendation objective and the classical setup where recommendation candidates are evaluated by their coherence with past user behavior, by predicting either the missing entries in the user-item matrix, or the most likely next event. To bridge this gap, we optimize a recommendation policy for the task of increasing the desired outcome versus the organic user behavior. We show this is equivalent to learning to predict recommendation outcomes under a fully random recommendation policy. To this end, we propose a new domain adaptation algorithm that learns from logged data containing outcomes from a biased recommendation policy and predicts recommendation outcomes according to random exposure. We compare our method against state-of-the-art factorization methods, in addition to new approaches of causal recommendation and show significant improvements. © 2018 Copyright held by the owner/author(s)."
"Saito Y., Yaginuma S., Nishino Y., Sakata H., Nakata K.","Unbiased recommender learning from missing-not-at-random implicit feedback",2020,"WSDM 2020 - Proceedings of the 13th International Conference on Web Search and Data Mining","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079528003&doi=10.1145%2f3336191.3371783&partnerID=40&md5=2a5c785c46d4e480245a716ac2355bd7","Recommender systems widely use implicit feedback such as click data because of its general availability. Although the presence of clicks signals the users’ preference to some extent, the lack of such clicks does not necessarily indicate a negative response from the users, as it is possible that the users were not exposed to the items (positive-unlabeled problem). This leads to a difficulty in predicting the users’ preferences from implicit feedback. Previous studies addressed the positive-unlabeled problem by uniformly upweighting the loss for the positive feedback data or estimating the confidence of each data having relevance information via the EM-algorithm. However, these methods failed to address the missing-not-at-random problem in which popular or frequently recommended items are more likely to be clicked than other items even if a user does not have a considerable interest in them. To overcome these limitations, we first define an ideal loss function to be optimized to realize recommendations that maximize the relevance and propose an unbiased estimator for the ideal loss. Subsequently, we analyze the variance of the proposed unbiased estimator and further propose a clipped estimator that includes the unbiased estimator as a special case. We demonstrate that the clipped estimator is expected to improve the performance of the recommender system, by considering the bias-variance trade-off. We conduct semi-synthetic and real-world experiments and demonstrate that the proposed method largely outperforms the baselines. In particular, the proposed method works better for rare items that are less frequently observed in the training data. The findings indicate that the proposed method can better achieve the objective of recommending items with the highest relevance. © 2020 Association for Computing Machinery."
"Steck H.","Evaluation of recommendations: Rating-prediction and ranking",2013,"RecSys 2013 - Proceedings of the 7th ACM Conference on Recommender Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887575890&doi=10.1145%2f2507157.2507160&partnerID=40&md5=6195800d8a2d31bbf49830da5d8a12b7","The literature on recommender systems distinguishes typically between two broad categories of measuring recommendation accuracy: rating prediction, often quantified in terms of the root mean square error (RMSE), and ranking, measured in terms of metrics like precision and recall, among others. In this paper, we examine both approaches in detail, and find that the dominating difference lies instead in the training and test data considered: rating prediction is concerned with only the observed ratings, while ranking typically accounts for all items in the collection, whether the user has rated them or not. Furthermore, we show that predicting observed ratings, while popular in the literature, only solves a (small) part of the rating prediction task for any item in the collection, which is a common real-world problem. The reasons are selection bias in the data, combined with data sparsity. We show that the latter rating-prediction task involves the prediction task 'Who rated What' as a subproblem, which can be cast as a classification or ranking problem. This suggests that solving the ranking problem is not only valuable by itself, but also for predicting the rating value of any item. © 2013 ACM."
