Title,Relevant,Notes,Link,Authors,Abstract,Venue,Year
Knowledge Organization Initiative for Digital Resources of Ancient Chinese Stele Inscriptions,,,https://muse.jhu.edu/pub/1/article/927955,"['Liu, Jia', 'Bian, Junyi', 'Song, Fangyi', 'Shen, Shengnan', 'Lai, Xiaoting']",missing,Library Trends,2023
Construction of Smart Data toward Dunhuang Grottoes,,,https://muse.jhu.edu/pub/1/article/774345,"['Wang, Xiaoguang', 'Wang, Hongyu', 'Chang, Wanli', 'Zhang, Chen', 'Xu, Lei']",missing,Library Trends,2020
"Designing for Humans, Not Robots (or Vulcans)",,,https://muse.jhu.edu/pub/1/article/700456,"['Lueg, Christopher', 'Twidale, Michael']",missing,Library Trends,2018
Curating for Convergence: Data Stewardship for Interdisciplinary Inquiry,,,https://muse.jhu.edu/pub/1/article/896378,"['Palmer, Carole L.', 'Cragin, Melissa H.']",missing,Library Trends,2022
Research on the Digitization of Yunnan Pu'er Tea Processing Technology,,,https://muse.jhu.edu/pub/1/article/925017,"['Zhao, Yimin', 'Wang, Xiaofei', 'Shi, Xiao', 'Li, Xuelian']",missing,Library Trends,2023
Introduction: Cultural Heritage and Digital Scholarship in China,,,https://muse.jhu.edu/pub/1/article/925013,"['Ruan, Lian J.', 'Xia, Shengping']",missing,Library Trends,2023
"Digital Text Collections, Linguistic Research Data, and Mashups: Notes on the Legal Situation",,,https://muse.jhu.edu/pub/1/article/252248,"['Lehmberg, Timm', 'Rehm, Georg', 'Witt, Andreas', 'Zimmermann, Felix']",missing,Library Trends,2008
On Preferring Joy,,,https://muse.jhu.edu/pub/1/article/879140,"['Benda, Chris']",missing,Library Trends,2022
Research on Knowledge Organization and Visualization of Historical Events in the Republic of China Era,,,https://muse.jhu.edu/pub/1/article/774343,"['Li, He', 'Zhu, Linlin', 'Shen, Wang', 'Du, Xingye', 'Guan, Shuhe', 'Deng, Jun']",missing,Library Trends,2020
An Illustrated Introduction to the Infosphere,,,https://muse.jhu.edu/pub/1/article/579339,"['Van der Veer Martens, Betsy']",missing,Library Trends,2015
A Pluralistic Approach to the Philosophy of Classification,,,https://muse.jhu.edu/pub/1/article/579352,"['Szostak, Rick']",missing,Library Trends,2015
"Human Nature Is Not a Machine: On Liberty, Attention Engineering, and Learning Analytics",,,https://muse.jhu.edu/pub/1/article/736893,"['Hartman-Caverly, Sarah']",missing,Library Trends,2019
Issues in User-Centered Design in LIS,,,https://muse.jhu.edu/pub/1/article/433366,"['Bowler, Leanne', 'Koshman, Sherry', 'Oh, Jung Sun', 'He, Daqing', 'Callery, Bernadette G.', 'Bowker, Geof', 'Cox, Richard J.']",missing,Library Trends,2011
Conflicting Values: An Exploration of the Tensions between Learning Analytics and Academic Librarianship,,,https://muse.jhu.edu/pub/1/article/736892,"['Oliphant, Tami', 'Brundin, Michael R.']",missing,Library Trends,2019
Contribution to the Ontological Status of Information: Development of the Structural-Attributive Approach,,,https://muse.jhu.edu/pub/1/article/579351,"['Morán-Reyes, Ariel Antonio']",missing,Library Trends,2015
Introduction,,,https://muse.jhu.edu/pub/1/article/774336,"['Ruan, Lian', 'Du, Xingye']",missing,Library Trends,2020
"""The Teaching of Reference Must Keep Pace"": Teaching Sources and Searching in an Evolving Reference Environment",,,https://muse.jhu.edu/pub/1/article/896374,"['Wong, Melissa A.']",missing,Library Trends,2022
F. W. Lancaster: A Bibliometric Analysis,,,https://muse.jhu.edu/pub/1/article/246688,"['Qin, Jian']",missing,Library Trends,2008
Index to Volume 62,,,https://muse.jhu.edu/pub/1/article/552027,"['Carson, Justine']",missing,Library Trends,2014
Trends of LIS Education and Practice in Asia and Oceania: A Bibliometric Analysis,,,https://muse.jhu.edu/pub/1/article/922374,"['Ajis, Ahmad Fuzi Md', 'Zakaria, Sohaimi']",missing,Library Trends,2022
Index to Volume 67,,,https://muse.jhu.edu/pub/1/article/731571,"['Carson, Justine']",missing,Library Trends,2019
Research on the Quality Control Method of Cultural Heritage Digital Information Service: A Case Study of the Digital Cultural Relics Library Platform of the Palace Museum in Beijing,,,https://muse.jhu.edu/pub/1/article/927953,"['Fang, Liyu', 'Sun, Jing', 'Liu, Yuxian']",missing,Library Trends,2023
"Native Students in Library and Information Science Education, 1990–2019: Past Trends and Implications for Future Advancement",,,https://muse.jhu.edu/pub/1/article/938216,"['Gosart, Ulia', 'Fu, Rachel', 'Massey, Dominique', 'Tucker, Zoe']",missing,Library Trends,2023
The Renaissance Scholar of Library and Information Science: Professor Linda C. Smith,,,https://muse.jhu.edu/pub/1/article/896371,"['Coleman, Anita S.', 'Kyrillidou, Martha']",missing,Library Trends,2022
Linda C. Smith: Fifty Years of Library and Information Science Education by Design,,,https://muse.jhu.edu/pub/1/article/896372,"['Howarth, Lynne C.', 'Abels, Eileen G.']",missing,Library Trends,2022
The Library in the Life of the Community: Twenty Years of OCLC Research,,,https://muse.jhu.edu/pub/1/article/922379,"['Connaway, Lynn Silipigni', 'Brannon, Brittany', 'Doyle, Brooke', 'Faniel, Ixchel M', 'Lavoie, Brian']",missing,Library Trends,2022
The Paradox of Privacy: Revisiting a Core Library Value in an Age of Big Data and Linked Data,,,https://muse.jhu.edu/pub/1/article/613920,"['Campbell, D. Grant', 'Cowan, Scott R.']",missing,Library Trends,2016
Digital Humanities Scholarly Commons at Beijing Normal University Library,,,https://muse.jhu.edu/pub/1/article/774348,"['Zhao, Xing', 'Shu’ning, Li', 'Ya’nan, Xiao', 'Huang, Haiqing']",missing,Library Trends,2020
Centering Indigenous Perspectives in Library Collections: A Lesson in Cultural Humility,,,https://muse.jhu.edu/pub/1/article/938214,"['Anderson, Kimberly', 'Boss, Emily E.', 'Bucy, Rosalind']",missing,Library Trends,2023
Closing the Loop: Bridging Machine Learning (ML) Research and Library Systems,,,https://muse.jhu.edu/pub/1/article/896379,"['Cordell, Ryan']",missing,Library Trends,2022
Trends in Latin America: Libraries’ Challenges Magnified by the COVID-19 Pandemic,,,https://muse.jhu.edu/pub/1/article/922375,"['Talavera-Ibarra, Ana María']",missing,Library Trends,2022
The Efficient Provision of Information Resources in Academic Libraries: Theory and Practice,,,https://muse.jhu.edu/pub/1/article/858212,"['Lewis, David W.', 'Baich, Tina', 'Palmer, Kristi L.', 'Miller, Willie M.']",missing,Library Trends,2022
The Path Taken and the Promising Road: Libraries in the Middle East and North Africa (MENA),,,https://muse.jhu.edu/pub/1/article/922376,"['Mostafa, Amal Wagih H.', 'Metwally, Abdallah H.']",missing,Library Trends,2022
A Statistical Essay on Diversity in the Library Professions Compared to Other Occupations in the United States,,,https://muse.jhu.edu/pub/1/article/922380,"['Buchel, Olha', 'Coleman, Anita S.']",missing,Library Trends,2022
"Private Libraries in China: Their Diversity, Informatization, and Role as Public Spaces",,,https://muse.jhu.edu/pub/1/article/524320,"['Wang, Zizhou 王子舟', 'Yin, Peili 尹培丽', 'Wu, Hanhua 吴汉华']",missing,Library Trends,2013
"International Contexts and U.S. Trends in Equity, Diversity, Inclusion, and Accessibility in Libraries",,,https://muse.jhu.edu/pub/1/article/922378,"['Coleman, Anita S.']",missing,Library Trends,2022
Algorithmic recommendations enabling and constraining information practices among young people,,,https://doi.org/10.1108/JD-05-2023-0102,"['Jylhä, Ville', 'Hirvonen, Noora', 'Haider, Jutta']","Purpose This study addresses how algorithmic recommendations and their affordances shape everyday information practices among young people. Design/methodology/approach Thematic interviews were conducted with 20 Finnish young people aged 15–16 years. The material was analysed using qualitative content analysis, with a focus on everyday information practices involving online platforms. Findings The key finding of the study is that the current affordances of algorithmic recommendations enable users to engage in more passive practices instead of active search and evaluation practices. Two major themes emerged from the analysis: enabling not searching, inviting high trust, which highlights the how the affordances of algorithmic recommendations enable the delegation of search to a recommender system and, at the same time, invite trust in the system, and constraining finding, discouraging diversity, which focuses on the constraining degree of affordances and breakdowns associated with algorithmic recommendations. Originality/value This study contributes new knowledge regarding the ways in which algorithmic recommendations shape the information practices in young people's everyday lives specifically addressing the constraining nature of affordances.",Journal of Documentation,2024
"Labor, classification and productions of culture on Netflix",,,https://doi.org/10.1108/JD-06-2020-0108,"['Floegel, Diana']","Purpose This paper examines promotional practices Netflix employs via Twitter and its automated recommendation system in order to deepen our understanding of how streaming services contribute to sociotechnical inequities under capitalism. Design/methodology/approach Tweets from two Netflix Twitter accounts as well as material features of Netflix's recommendation system were qualitatively analyzed using inductive analysis and the constant comparative method in order to explore dimensions of Netflix's promotional practices. Findings Twitter accounts and the recommendation system profit off people's labor to promote content, and such labor allows Netflix to create and refine classification practices wherein both people and content are categorized in inequitable ways. Labor and classification feed into Netflix's production of culture via appropriation on Twitter and algorithmic decision-making within both the recommendation system and broader AI-driven production practices. Social implications Assemblages that include algorithmic recommendation systems are imbued with structural inequities and therefore unable to be fixed by merely diversifying cultural industries or retooling algorithms on streaming platforms. It is necessary to understand systemic injustices within these systems so that we may imagine and enact just alternatives. Originality/value Findings demonstrate that via surveillance tactics that exploit people's labor for promotional gains, enforce normative classification schemes, and culminate in normative cultural productions, Netflix engenders practices that regulate bodies and culture in ways that exemplify interconnections between people, machines, and social institutions. These interconnections further reflect and result in material inequities that crystalize within sociotechnical processes.",Journal of Documentation,2021
Evaluating a threefold intervention framework for assisting researchers in literature review and manuscript preparatory tasks,,,https://doi.org/10.1108/JD-06-2016-0072,"['Sesagiri Raamkumar, Aravind', 'Foo, Schubert', 'Pang, Natalie']","Purpose Systems to support literature review (LR) and manuscript preparation tend to focus on only one or two of the tasks involved. The purpose of this paper is to describe an intervention framework that redesigns a particular set of tasks, allowing for interconnectivity between the tasks and providing appropriate user interface display features for each task in a prototype system. Design/methodology/approach A user evaluation study was conducted on the prototype system. The system supports the three tasks: building a reading list (RL) of research papers, finding similar papers based on a set of papers and shortlisting papers from the final RL for inclusion in manuscript based on article type. A total of 119 researchers who had experience in authoring research papers, participated in the evaluation study. They had to select one of the provided 43 topics and execute the tasks offered by the system. Three questionnaires were provided for evaluating the tasks and system. Both quantitative and qualitative analyses were performed on the collected evaluation data. Findings Task redesign aspects had a positive impact in user evaluation for the second task of finding similar papers while improvement was found to be required for the first and third tasks. The tasks interconnectivity features seed basket and RL were helpful for the participants in conveniently searching for papers within the system. Two of the four proposed informational display features, namely, information cue labels and shared co-relations were the most preferred features of the system. Student user group found the task recommendations and the overall system to be more useful and effective than the staff group. Originality/value This study validates the importance of interconnected task design and novel informational display features in accentuating task-based recommendations for LR and manuscript preparatory tasks. The potential for improvement in recommendations was shown through the task redesign exercise where new requirements for the tasks were identified. The resultant prototype system helps in bridging the gap between novices and experts in terms of LR skills.",Journal of Documentation,2017
A sign of a good book: readers’ methods of accessing fiction in the public library,,,https://doi.org/10.1108/JD-04-2012-0041,"['Saarinen, Katariina', 'Vakkari, Pertti']","Purpose  – Lending novels is the major service provided by public libraries. The efforts in developing search systems have been focused on retrieving non-fiction. There is a need for designing systems to support fiction searching in libraries. The aim of this study is to analyze readers’ methods of accessing fiction in a public library for informing the design of fiction search systems. This study seeks to find out which attributes of books readers perceive as indicators of a good novel, and what kind of tactics they use for finding these good novels in the public library.  Design/methodology/approach  – The authors observed 16 adult library users by semi-structured interviews eliciting information about their literary competence, what characterizes a good novel and how they accessed and identified good novels in the library.  Findings  – Based on the data this paper developed a tentative reader typology, which differentiated the attributes of good novels and major tactics for accessing them.  Practical implications  – The typology was used for inferring user models and design ideas for systems supporting fiction searching.  Originality/value  – This is the first empirical study to inform how readers’ literary competence is associated with the tactics used and indicators recognized in books for finding and selecting good novels to borrow.",Journal of Documentation,2013
Tell me how you write and I'll tell you what you read: a study on the writing style of book reviews,,,https://doi.org/10.1108/JD-04-2023-0073,"['Alzetta, Chiara', ""Dell'Orletta, Felice"", 'Miaschi, Alessio', 'Prat, Elena', 'Venturi, Giulia']","Purpose The authors’ goal is to investigate variations in the writing style of book reviews published on different social reading platforms and referring to books of different genres, which enables acquiring insights into communication strategies adopted by readers to share their reading experiences. Design/methodology/approach The authors propose a corpus-based study focused on the analysis of A Good Review, a novel corpus of online book reviews written in Italian, posted on Amazon and Goodreads, and covering six literary fiction genres. The authors rely on stylometric analysis to explore the linguistic properties and lexicon of reviews and the authors conducted automatic classification experiments using multiple approaches and feature configurations to predict either the review's platform or the literary genre. Findings The analysis of user-generated reviews demonstrates that language is a quite variable dimension across reading platforms, but not as much across book genres. The classification experiments revealed that features modelling the syntactic structure of the sentence are reliable proxies for discerning Amazon and Goodreads reviews, whereas lexical information showed a higher predictive role for automatically discriminating the genre. Originality/value The high availability of cultural products makes information services necessary to help users navigate these resources and acquire information from unstructured data. This study contributes to a better understanding of the linguistic characteristics of user-generated book reviews, which can support the development of linguistically-informed recommendation services. Additionally, the authors release a novel corpus of online book reviews meant to support the reproducibility and advancements of the research.",Journal of Documentation,2024
"Understanding complex casual leisure information needs: an analysis of search requests for books, games, movies and music",,,https://doi.org/10.1108/JD-03-2024-0070,"['Bogers, Toine', 'Gäde, Maria', 'Koolen, Marijn', 'Petras, Vivien', 'Skov, Mette']","Purpose In this paper, we introduce the CRISPS (CRoss-domaIn relevance aSPects Scheme) coding scheme for complex information needs in the four leisure domains of books, games, movies and music. It categorizes the relevance aspects people consider when searching for these resources. The coding scheme and findings help search engines to better support complex information needs, both by prioritizing which aspects are easier to classify automatically and by determining which information sources should be considered. Design/methodology/approach A cross-domain classification scheme for relevance aspects and information needs in casual leisure domains (CRISPS) is developed and applied. The paper provides the documentation of the scheme development and annotation process as well as a detailed, large-scale analysis of 2000 requests (500 per domain) and relevance aspects for four domains as expressed in complex search requests in everyday life information seeking posted to online forums. Findings We identify and discuss relevance aspect frequencies, information need types and the described search process of the requests. Furthermore, the coding scheme development and the annotation process are documented and reflected on. Originality/value This is the first categorization and analysis of complex information needs in these four leisure domains combined. The coding scheme and findings can be used to develop new types of search interfaces that incorporate the kinds of relevance aspects identified in the scheme, allowing to express complex needs in the form of structured queries.",Journal of Documentation,2024
Readers’ interest criteria in fiction book search in library catalogs,,,https://doi.org/10.1108/JDOC-11-2015-0142,"['Mikkonen, Anna', 'Vakkari, Pertti']","Purpose  – The purpose of this paper is to investigate fiction readers’ interest criteria when selecting novels in library catalogs for various search tasks.  Design/methodology/approach  – The data of the book selection behavior from 80 genuine fiction readers were collected using recorded interviews and conversations. The data were qualitatively analyzed. Reuter’s categorization of the components of aesthetic relevance has contributed to the construction of interest dimensions.  Findings  – A five-dimension categorization of interest criteria is presented based on fiction readers’ interpretations of the influential factors in fiction book selection in different search tasks. The findings revealed that readers apply the identified interest criteria in a flexible and multiphase way depending to the search task and the system used. The findings showed a context-related pattern in readers’ fiction book selections. A combination of readers’ search capacities, “behind the eyes” knowledge, affective factors and a well-functioning interaction with a system used results in a successful book selection.  Originality/value  – A five-dimension categorization of adult fiction readers’ interest criteria was created based on their search behaviors in library catalogs. The results provide a systematic step toward a comprehensive understanding of readers’ fiction book selection in digital environments.",Journal of Documentation,2016
"The trouble with diverse books, part I: on the limits of conceptual analysis for political negotiation in Library & Information Science",,,https://doi.org/10.1108/JD-04-2020-0057,"['Lawrence, E. E.']","Purpose The term diverse books is increasingly popular yet persistently nebulous. The purpose of this paper – Part I of II – is to illuminate both that the concept is in need of a unified account and that conceptual analysis, though at first seemingly quite promising, fails as a method for identifying one. Design/methodology/approach This paper utilizes traditional (or intuitive) conceptual analysis to specify the respective clusters of necessary and sufficient conditions that constitute four broad candidate accounts of diverse books. Findings Though diverse books is a concept in need of a definition, conceptual analysis is not an appropriate method for adjudicating between the definitions we have on offer. This is because the concept is fundamentally political, serving as a resource for re-shaping collective social arrangements and ways of life. The conceptual problem outlined here requires for its resolution a method that will move us from a descriptive project to an explicitly normative one, wherein we consider what we properly work to achieve with and through the concept in question. Originality/value This paper initiates a systematic analytical project aimed at defining diverse books. In illustrating a moment of methodological failure, it paves the way for a critical alternative – namely, Part II's proposal of an analytical intervention in which political concepts are defined partially in terms of their benefits vis-á-vis informational justice.",Journal of Documentation,2020
The role of agency in historians’ experiences of serendipity in physical and digital information environments,,,https://doi.org/10.1108/JD-11-2015-0144,"['Martin, Kim', 'Quan-Haase, Anabel']","Purpose The purpose of this paper is to investigate the changing research practices of historians, and to contrast their experiences of serendipity in physical and digital information environments. Design/methodology/approach In total, 20 historians in Southwestern Ontario participated in semi-structured, in-depth interviews. The interviews were transcribed and analyzed employing grounded theory. The analytical approach included memoing, the constant comparative method, and three phases of coding. Findings Four main themes were identified: agency, the importance of the physical library experience, digital information environments, and novel heuristic forms of serendipity. The authors found that scholars frequently used active verbs to describe their experience with serendipity. This suggests that agency is more involved in the experience than previous conceptualizations of serendipity have suggested, and led us to coin the term “incidental serendipity.” Other key findings include the need for digital tools to incorporate the context surrounding primary sources, and also to provide an organizational context much like what is encountered by patrons in library stacks. Originality/value The increased emphasis on digital materials should not come at the expense of the physical information environment, where historians often encounter serendipitous finds. A fine balance and a greater integration between digital and physical resources is needed in order to support scholars’ continued ability to make connections between materials. By showing the active role that historians take in their serendipitous encounters, this paper suggests that historical training is critical for eliciting incidental serendipitous encounters. The authors propose a novel approach, one that examines verbs in serendipity accounts.",Journal of Documentation,2016
Sender vs. recipient-orientated information systems revisited,,,https://doi.org/10.1108/JD-10-2020-0177,"['MacFarlane, Andrew', 'Missaoui, Sondess', 'Makri, Stephann', 'Gutierrez Lopez, Marisela']","Purpose Belkin and Robertson (1976a) reflected on the ethical implications of theoretical research in information science and warned that there was potential for abuse of knowledge gained by undertaking such research and applying it to information systems. In particular, they identified the domains of advertising and political propaganda that posed particular problems. The purpose of this literature review is to revisit these ideas in the light of recent events in global information systems that demonstrate that their fears were justified. Design/methodology/approach The authors revisit the theory in information science that Belkin and Robertson used to build their argument, together with the discussion on ethics that resulted from this work in the late 1970s and early 1980s. The authors then review recent literature in the field of information systems, specifically information retrieval, social media and recommendation systems that highlight the problems identified by Belkin and Robertson. Findings Information science theories have been used in conjunction with empirical evidence gathered from user interactions that have been detrimental to both individuals and society. It is argued in the paper that the information science and systems communities should find ways to return control to the user wherever possible, and the ways to achieve this are considered. Research limitations/implications The ethical issues identified require a multidisciplinary approach with research in information science, computer science, information systems, business, sociology, psychology, journalism, government and politics, etc. required. This is too large a scope to deal with in a literature review, and we focus only on the design and implementation of information systems (Zimmer, 2008a) through an information science and information systems perspective. Practical implications The authors argue that information systems such as search technologies, social media applications and recommendation systems should be designed with the recipient of the information in mind (Paisley and Parker, 1965), not the sender of that information. Social implications Information systems designed ethically and with users in mind will go some way to addressing the ill effects typified by the problems for individuals and society evident in global information systems. Originality/value The authors synthesize the evidence from the literature to provide potential technological solutions to the ethical issues identified, with a set of recommendations to information systems designers and implementers.",Journal of Documentation,2022
User-centered categorization of mood in fiction,,,https://doi.org/10.1108/JD-03-2022-0071,"['Cho, Hyerim', 'Lee, Wan-Chen', 'Huang, Li-Min', 'Kohlburn, Joseph']","Purpose Readers articulate mood in deeply subjective ways, yet the underlying structure of users' understanding of the media they consume has important implications for retrieval and access. User articulations might at first seem too idiosyncratic, but organizing them meaningfully has considerable potential to provide a better searching experience for all involved. The current study develops mood categories inductively for fiction organization and retrieval in information systems. Design/methodology/approach The authors developed and distributed an open-ended survey to 76 fiction readers to understand their preferences with regard to the affective elements in fiction. From the fiction reader responses, the research team identified 161 mood terms and used them for further categorization. Findings The inductive approach resulted in 30 categories, including angry, cozy, dark and nostalgic. Results include three overlapping mood families: Emotion, Tone/Narrative, and Atmosphere/Setting, which in turn relate to structures that connect reader-generated data with conceptual frameworks in previous studies. Originality/value The inherent complexity of “mood” should not dissuade researchers from carefully investigating users' preferences in this regard. Adding to the existing efforts of classifying moods conducted by experts, the current study presents mood terms provided by actual end-users when describing different moods in fiction. This study offers a useful roadmap for creating taxonomies for retrieval and description, as well as structures derived from user-provided terms that ultimately have the potential to improve user experience.",Journal of Documentation,2023
Analyzing anime users’ online forum queries for recommendation using content analysis,,,https://doi.org/10.1108/JD-08-2017-0122,"['Cho, Hyerim', 'Schmalz, Marc L.', 'Keating, Stephen A.', 'Lee, Jin Ha']","Purpose The purpose of this paper is to improve the understanding of relevant information features for users seeking anime recommendations. Design/methodology/approach The study uses content analysis of 396 recommendation request threads from the online forum at Anime News Network. Findings In total, 19 important anime information features were identified, including Work, Theme, Genre, Audience, Mood, while Artwork/Visual Style, Audio Style, and Language were mentioned less frequently. However, when mentioned, these codes were discussed with specificity and depth. Research limitations/implications This study analyzed a relatively small number of 396 forum records, without demographic information. Using content analysis of online forum threads written by real users provided both informational breadth and depth. Future studies would benefit from using content analysis to investigate unfamiliar multimedia information and user groups. Practical implications The findings of this study can be implemented in anime-related databases and information systems to enhance organization, browsing/retrieval, and recommendation of anime, which can be further utilized for other audiovisual materials. Originality/value This is one of the few studies that investigate what anime users need and want. This research examines an understudied cultural medium, underserved by current research, despite an expanding community of anime users.",Journal of Documentation,2018
Information overload: a concept analysis,,,https://doi.org/10.1108/JD-06-2021-0118,"['Belabbes, Mohamed Amine', 'Ruthven, Ian', 'Moshfeghi, Yashar', 'Rasmussen Pennington, Diane']","Purpose With the shift to an information-based society and to the de-centralisation of information, information overload has attracted a growing interest in the computer and information science research communities. However, there is no clear understanding of the meaning of the term, and while there have been many proposed definitions, there is no consensus. The goal of this work was to define the concept of “information overload”. In order to do so, a concept analysis using Rodgers' approach was performed. Design/methodology/approach A concept analysis using Rodgers' approach based on a corpus of documents published between 2010 and September 2020 was conducted. One surrogate for “information overload”, which is “cognitive overload” was identified. The corpus of documents consisted of 151 documents for information overload and ten for cognitive overload. All documents were from the fields of computer science and information science, and were retrieved from three databases: Association for Computing Machinery (ACM) Digital Library, SCOPUS and Library and Information Science Abstracts (LISA). Findings The themes identified from the authors’ concept analysis allowed us to extract the triggers, manifestations and consequences of information overload. They found triggers related to information characteristics, information need, the working environment, the cognitive abilities of individuals and the information environment. In terms of manifestations, they found that information overload manifests itself both emotionally and cognitively. The consequences of information overload were both internal and external. These findings allowed them to provide a definition of information overload. Originality/value Through the authors’ concept analysis, they were able to clarify the components of information overload and provide a definition of the concept.",Journal of Documentation,2023
A new framework for ethical creation and evaluation of multi-perspective knowledge organization systems,,,https://doi.org/10.1108/JD-04-2020-0053,"['Zhitomirsky-Geffet, Maayan', 'Hajibayova, Lala']","Purpose This study aims to present a new framework for ethical creation and evaluation of multi-perspective knowledge organization systems. Design/methodology/approach Applying Held's understanding of the ethics of care, this paper proposes five operative criteria for ethical building and evaluation of multi-perspective knowledge representation and organization systems. Findings This paper argues that a carefully designed multipoint view of representation and organization conforms to the proposed ethical criteria and shifts concerns associated with the expectation of neutrality of library information professionals to the necessity to humanize and diversify the representation and organization of knowledge to build inclusive and equitable systems. Originality/value This paper presents multi-perspectiveness as key to ethical knowledge organization. The paper proposes a generic taxonomy of the main stages in the creation of multi-perspective knowledge representation and organization systems and demonstrates how to apply the proposed framework in each stage to ensure ethical outcomes.",Journal of Documentation,2020
Gamifying piracy: functions and users of the Z-library,,,https://doi.org/10.1108/JD-09-2021-0174,"['Kjellström, Zakayo']","Purpose This paper aims to show how an illegal repository of literature, the Z-library, relates to and influences its users and how this relation is unique due to the illegal nature of the platform. The paper utilizes the idea of gamification to exemplify how to motivate users to contribute to a large shadow library in order to create the “world's largest e-book library,” sans “librarians.” Design/methodology/approach The study makes use of an ethnographic approach. It interrogates the functions of the website through intensive use—a close reading of sorts. The data provide a foundation for illustrating how illegal text repositories function at a surface level and how their design appeals to their user-base. Findings The paper provides a thorough and non-biased overview of how a “black open access” or “shadow library” site provides its users with pirated literature. It suggests that the lynchpin sustaining their functionality is a gamification of piracy designed to motivate a fragmented collective of individuals who work primarily for personal reward, rather than altruistic goals. Research limitations/implications Due to the design of the study, the findings are not universal or applicable to all illegal repositories of text. Readers and researchers are encouraged to apply the concept introduced here to other cases. Social implications This paper includes implication on the perception of literature piracy, how pirated literature is distributed and who performs the labor required to sustain illicit text repositories. Originality/value This paper provides a novel conceptual basis to study literature piracy.",Journal of Documentation,2022
The role of readers’ literary preferences in predicting success in fiction search,,,https://doi.org/10.1108/JD-01-2019-0005,"['Vakkari, Pertti', 'Mikkonen, Anna']","Purpose The purpose of this paper is to study what extent readers’ socio-demographic characteristics, literary preferences and search behavior predict success in fiction search in library catalogs. Design/methodology/approach In total, 80 readers searched for interesting novels in four differing search tasks. Their search actions were recorded with a Morae Recorder. Pre- and post-questionnaires elicited information about their background, literary preferences and search experience. Readers’ literary preferences were grouped into four orientations by a factor analysis. Linear regression analysis was applied for predicting search success as measured by books’ interest scores. Findings Most literary orientations contributed to search success, but in differing search tasks. The role of result examination was greater compared to querying in contributing search success almost in each task. The proportion of variance explained in books’ interest scores varied between 5 (open-ended browsing) and 50 percent (analogy search). Research limitations/implications The distribution of participants was biased toward females, and the results are aggregated within search session, both reducing the variation of the phenomenon observed. Originality/value This study is one of the first to explore how readers’ literary preferences and searching are associated with finding interesting novels, i.e. search success, in library catalogs. The results expand and support the findings in Mikkonen and Vakkari (2017) concerning associations between reader characteristics and fiction search success.",Journal of Documentation,2020
Illusions of a “Bond”: tagging cultural products across online platforms,,,https://doi.org/10.1108/JD-09-2015-0110,"['Desrochers, Nadine', 'Laplante, Audrey', 'Martin, Kim', 'Quan-Haase, Anabel', 'Spiteri, Louise']","Purpose Most studies pertaining to social tagging focus on one platform or platform type, thus limiting the scope of their findings. The purpose of this paper is to explore social tagging practices across four platforms in relation to cultural products associated with the book Casino Royale, by Ian Fleming. Design/methodology/approach A layered and nested case study approach was used to analyse data from four online platforms: Goodreads, Last.fm, WordPress, and public library social discovery platforms. The top-level case study focuses on the book Casino Royale, by Ian Fleming and its derivative products. The analysis of tagging practices in each of the four online platforms is nested within the top-level case study. Casino Royale was conceptualized as a cultural product (the book), its derived products (e.g. movies, theme songs), as well as a keyword in blogs. A qualitative, inductive, and context-specific approach was chosen to identify commonalities in tagging practices across platforms whilst taking into account the uniqueness of each platform. Findings The four platforms comprise different communities of users, each platform with its own cultural norms and tagging practices. Traditional access points in the library catalogues focused on the subject, location, and fictitious characters of the book. User-generated content across the four platforms emphasized historical events and periods related to the book, and highlighted more subjective access points, such as recommendations, tone, mood, reaction, and reading experience. Revealing shifts occur in the tags between the original book and its cultural derivatives: Goodreads and library catalogues focus almost exclusively on the book, while Last.fm and WordPress make in addition cross-references to a wider range of different cultural products, including books, movies, and music. The analyses also yield apparent similarities in certain platforms, such as recurring terms, phrasing and composite or multifaceted tags, as well as a strong presence of genre-related terms for the book and music. Originality/value The layered and nested case study approach presents a more comprehensive theoretical viewpoint and methodological framework by which to explore the study of user-generated metadata pertaining to a range of related cultural products across a variety of online platforms.",Journal of Documentation,2016
Credibility on the internet: shifting from authority to reliability,,,https://doi.org/10.1108/00220410810899709,"['Lankes, R. David']","Purpose This paper seeks to understand how users determine credibility in the internet environment from a conceptual level and the implications of these new methods of credibility determination on internet tools (primarily software) and services. Design/methodology/approach The author first examines the underlying reasons for increased dependence on the internet for information, using electronic commerce as a starting point. The central concept of “information self‐sufficiency” is introduced and then examined through the lens of the internet and conversation theory. Findings The author finds that users are shifting from more traditional “authority” methods of credibility determination, where users cede determinations to trusted third parties, to a “reliability” approach where users seek commonalities and coherence among multiple information sources. This has led to an increased pressure for participation and openness at all levels of the internet. Research limitations/implications Studies on users and credibility must better account for often invisible technical factors. Practical implications Libraries must take into account a greater need for participation and technical fluency when dealing with patrons, particularly in information literacy programs and instruction. Originality/value This paper presents a large‐scale conceptual approach to credibility on the internet. It seeks to inform current approaches to the subject nested in communications and instruction with the unique technical environment of the internet.",Journal of Documentation,2008
