Database,Relevant,Title,Authors,Venue,Year,Abstract,Link
Google,,Building community: Report on kidrec workshop on children and recommender systems at recsys 2017,"['MS Pera', 'JA Fails', 'M Gelsomini', 'F Garzotto']",ACM SIGIR Forum,2018.0,"He specially focused on how attention patterns can bias the recommendation selection of   Unlike datasets like MovieLens [10] or Book-Crossing [20], which are available to the",https://dl.acm.org/doi/abs/10.1145/3274784.3274803
Google,,Semantically enhanced cross-domain recommender systems,['O Olarewaju'],,2018.0,"The contributions to cross-domain recommender systems are in three folds. First, we  investigate and analyse the performance of a cross-domain recommender model as we vary the",https://research.brighton.ac.uk/files/5927799/Oluseyi_Olarewaju_Hard_bound_copy.pdf
Google,,Improving item-tag relevance score prediction with BERT,"['JP Tulijoki', 'D Kotkov']",,2024.0,recommender and for various purposes in recommender  for the input x using weights W and  bias c. The outer function g is  book tag genome was extracted from Goodreads [19]. The tag,https://helda.helsinki.fi/bitstreams/2d891465-980f-45a9-8440-9f7eac91d7f3/download
Google,,A two-stage embedding model for recommendation with multimodal auxiliary information,"['J Ni', 'Z Huang', 'Y Hu', 'C Lin']",Information Sciences,2022.0,"is relatively simple since recommender systems usually only  This is mainly because in a  recommender system, besides  recommender system domain, which include two categories.",https://www.sciencedirect.com/science/article/pii/S0020025521009270
Google,,Enhancing long tail item recommendation in collaborative filtering: An econophysics-inspired approach,"['RS Sreepada', 'BK Patra']",Electronic Commerce Research and Applications,2021.0,"principles in the area of recommender systems. The major  In order to overcome the  bias towards popular items, we  long tail recommender systems on bookcrossing dataset.",https://www.sciencedirect.com/science/article/pii/S1567422321000612
Google,,Neural graph matching based collaborative filtering,"['Y Su', 'R Zhang', 'S M. Erfani', 'J Gan']",… of the 44th international ACM SIGIR …,2021.0,"relations to the two types of recommender systems. Then, we show  each attribute 𝑖 being  𝑠𝑢𝑚(𝒗𝑖) and the bias term 𝜔0 being  We omit the results of Book-crossing due to the space",https://dl.acm.org/doi/abs/10.1145/3404835.3462833
Google,,A discriminative-based geometric deep learning model for cross domain recommender systems,"['JK Arthur', 'C Zhou', 'EA Mantey', 'J Osei-Kwakye']",Applied Sciences,2022.0,b l represents bias terms in  Amazon books as its source domain and Amazon movies as  its target domain. The second dataset uses Amazon movies as its source and Amazon books as,https://www.mdpi.com/2076-3417/12/10/5202
Google,,MUKG: Unifying multi-task and knowledge graph method for recommender system,"['J Sun', 'MDM BILLA SHAGAR']",Proceedings of the 2020 2nd International …,2020.0,"vl ∈ Rd and wl ∈ Rd are trainable bias and weight vectors.  there is not set any threshold  for BookCrossing and Last.FM.  For MovieLens-1M and Book-crossing, we additionally,",https://dl.acm.org/doi/abs/10.1145/3421558.3421561
Google,,Improving Content Recommendation: Knowledge Graph-Based Semantic Contrastive Learning for Diversity and Cold-Start Users,"['Y Kim', 'S Rome', 'K Foley', 'M Nankani']",arXiv preprint arXiv …,2024.0,"Given the absence of metadata in the Book-Crossing dataset, we leverage ISBN data associated  with each book entry to retrieve metadata from Goodreads4(Wan and McAuley",https://arxiv.org/abs/2403.18667
Google,,Are you a social conformer?,"['P Garg', 'I King', 'MR Lyu']","… , ICONIP 2012, Doha, Qatar, November 12-15 …",2012.0,"the accuracy of personalized recommender systems and in  by removing the social  conformity bias, thus making the  real large scale dataset, Goodreads1. The key contributions",https://link.springer.com/chapter/10.1007/978-3-642-34487-9_84
Google,,CKEN: collaborative knowledge-aware enhanced network for recommender systems,"['W Zeng', 'J Qin', 'X Wang']",International Conference on Artificial Neural …,2022.0,"where \({W_l^{**}} \in {\Re ^d}\) and \({b_l^{**}} \in {\Re ^d}\) denote the weight matrix and bias   a positive feedback signal, and all interactions in Book-Crossing and Last.FM are used as",https://link.springer.com/chapter/10.1007/978-3-031-15931-2_63
Google,,Interactive recommender system via knowledge graph-enhanced reinforcement learning,"['S Zhou', 'X Dai', 'H Chen', 'W Zhang', 'K Ren']",Proceedings of the 43rd …,2020.0,", but it will suffer from the estimation bias problem [4] under the  Book-Crossing3 is a book  rating dataset from Book-Crossing  For Book-Crossing dataset, we follow the processing of [30]",https://dl.acm.org/doi/abs/10.1145/3397271.3401174
Google,,Graph-aware collaborative filtering for top-n recommendation,"['L Long', 'Y Yin', 'F Huang']",2021 International Joint Conference …,2021.0,"Recommender systems based on collaborative  aggregate and incorporate the  neighbor information and bias  three datasets: MovieLens-1M, Book-Crossing, Last.FM, which",https://ieeexplore.ieee.org/abstract/document/9534309/
Google,,CKAN: Collaborative knowledge-aware attentive network for recommender systems,"['Z Wang', 'G Lin', 'H Tan', 'Q Chen', 'X Liu']",Proceedings of the 43rd …,2020.0,"Wa and ba are the trainable weight and bias. We use the same  FM and Book-Crossing  datasets, but its performance is  for recommender models to learn the latent embeddings.",https://dl.acm.org/doi/abs/10.1145/3397271.3401141
Google,,Exploiting deep transformer models in textual review based recommender systems,"['S Gheewala', 'S Xu', 'S Yeom', 'S Maqsood']",Expert Systems with Applications,2024.0,While the primary objective of our research study is specific to recommender systems using  reviews and tends to survey the most recent deep learning approaches in the same. To find,https://www.sciencedirect.com/science/article/pii/S0957417423016226
Google,,'Free lunch'enhancement for collaborative filtering with factorization machines,"['B Loni', 'A Said', 'M Larson', 'A Hanjalic']",… Conference on Recommender …,2014.0,It is exactly this bias that many similarity metrics seek to avoid of our approach on the Amazon  Books and and the Amazon Music  obtained for the Amazon Books dataset (Figure 2) when,https://dl.acm.org/doi/abs/10.1145/2645710.2645771
Google,,The Effect of Feedback Granularity on Recommender Systems Performance,"['L Peska', 'S Balcar']",… of the 16th ACM Conference on Recommender …,2022.0,"Due to the sparsity of the LibraryThing dataset, we also restricted it to contain only books   With this form of data selection, we implicitly assume that there is no systematic bias between",https://dl.acm.org/doi/abs/10.1145/3523227.3551479
Google,,Improving collaborative filtering recommender by using multi-criteria rating and implicit social networks to recommend research papers,['SN Alotaibi'],,2016.0,"Research paper recommender systems (RSs) aim to alleviate the information overload of   criteria rating, and by integrating richer social network data into the recommender algorithm.",https://harvest.usask.ca/handle/10388/7457
Google,,"based Recommender Systems: A Survey of Approaches, Challenges and Future Perspectives","['E Hasan', 'M Rahman', 'C Ding', 'JX Huang']",arXiv preprint arXiv …,2024.0,"like bias and privacy concerns are important [111]. Hence, review-based recommender systems   Over the past years, extensive research has been conducted on recommender systems,",https://arxiv.org/abs/2405.05562
Google,,Evaluating recommender systems: survey and framework,"['E Zangerle', 'C Bauer']",ACM Computing Surveys,2022.0,"for Evaluating Recommender systems (FEVR), which we derive from the discourse on  recommender systems evaluation. In FEVR, we categorize the evaluation space of recommender",https://dl.acm.org/doi/abs/10.1145/3556536
Google,,"Gatekeeping algorithms with human ethical bias: The ethics of algorithms in archives, libraries and society",['M van Otterlo'],arXiv preprint arXiv:1801.01705,2018.0,"In the age of algorithms, I focus on the question of how to ensure algorithms that will take  over many of our familiar archival and library tasks, will behave according to human ethical",https://arxiv.org/abs/1801.01705
Google,,Heterogeneous type-specific entity representation learning for recommendations in e-commerce network,"['J Zheng', 'Q Li', 'J Liao']",Information Processing & Management,2021.0,"of heterogeneous e-commerce recommender systems, in this  rating predictions for  heterogeneous recommender systems.  ), 2 CiaoDVD, 3 and BookCrossing. The first dataset",https://www.sciencedirect.com/science/article/pii/S0306457321001230
Google,,Recommender system to support comprehensive exploration of large scale scientific datasets,['M Barros'],,2022.0,"This work proposes the use of Recommender Systems  and testing of new recommender  algorithms specific for each  ), a hybrid semantic recommender system for chemical compounds",https://repositorio.ul.pt/handle/10451/53679
Google,,A model of two tales: Dual transfer learning framework for improved long-tail item recommendation,"['Y Zhang', 'DZ Cheng', 'T Yao', 'X Yi', 'L Hong']",Proceedings of the web …,2021.0,"applications would also lead to the popularity bias [1] and “rich  datasets: MovieLens 1M 2  and Bookcrossing 3, both with rich  As shown in the Table 3, we consider a recommender has ‘",https://dl.acm.org/doi/abs/10.1145/3442381.3450086
Google,,Causality-driven User Modeling for Sequential Recommendations over Time,"['X Chen', 'Q Li']",Companion Proceedings of the ACM on Web …,2024.0,"The former aids in mitigating bias from short-cut features and  to mitigate confounding  bias and preserve critical context,  book ratings from the Book-Crossing community. In our",https://dl.acm.org/doi/abs/10.1145/3589335.3651896
Google,,Dskreg: Differentiable sampling on knowledge graph for recommendation with relational gnn,"['Y Wang', 'Z Liu', 'Z Fan', 'L Sun', 'PS Yu']",Proceedings of the 30th ACM …,2021.0,"-the-art KG-based recommender systems. The code is available  𝑏 ∈ R are the learnable  weight and bias; r𝑖𝑗 ∈ R𝑑 and e𝑗 ∈  On BookCrossing, models using L2 distance and Inner",https://dl.acm.org/doi/abs/10.1145/3459637.3482092
Google,,Metalearning and Recommender Systems: A literature review and empirical study on the algorithm selection problem for Collaborative Filtering,"['T Cunha', 'C Soares', 'AC de Carvalho']",Information Sciences,2018.0,"Clearly the bias in the algorithms is the responsible factor, although the actual reasons are   This work analyzes in depth the problem of algorithm selection for Recommender Systems,",https://www.sciencedirect.com/science/article/pii/S0020025517309702
Google,,Toward identification and adoption of best practices in algorithmic recommender systems research,"['JA Konstan', 'G Adomavicius']",… and replication in recommender systems …,2013.0,"This work aims to address a concern that the Recommender Systems research community  (which is uniquely equipped to address many im t challenges in electronic commerce, social",https://dl.acm.org/doi/abs/10.1145/2532508.2532513
Google,,Non-iid recommender systems: A review and framework of recommendation paradigm shifting,['L Cao'],Engineering,2016.0,"While recommendation plays an increasingly critical role in our living, study, work, and  entertainment, the recommendations we receive are often for irrelevant, duplicate, or",https://www.sciencedirect.com/science/article/pii/S2095809916309481
Google,,From Head to Long Tail: Efficient and Flexible Recommendation Using Cosine Patterns,"['YWJWZ Wu', 'G Adomavicius']",,,"The popularity bias of traditional recommender systems focuses users’ demand mainly to   recommender systems research: Book-Crossing, Last.fm, and MovieLens. For Book-Crossing",https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/inline-files/ISR_FromHeadtoLongTail%20-%20Yaqiong%20Wang_0.pdf
Google,,Switching hybrid method based on user similarity and global statistics for collaborative filtering,"['P Ortal', 'M Edahiro']",IEEE Access,2020.0,"for the development of recommender systems technology.  In our proposed method, we  first calculate the user bias (the  In the case of the Epinions and Book-crossing datasets, we",https://ieeexplore.ieee.org/abstract/document/9270002/
Google,,Towards robust fairness-aware recommendation,"['H Yang', 'Z Liu', 'Z Zhang', 'C Zhuang', 'X Chen']",… on Recommender Systems,2023.0,"On the right, a conventional fairnessaware recommender system is unaware of distribution   in the recommender system based on their genders, and a fairness-aware recommender",https://dl.acm.org/doi/abs/10.1145/3604915.3608784
Google,,Using Neural and Graph Neural Recommender Systems to Overcome Choice Overload: Evidence From a Music Education Platform,"['H Razgallah', 'M Vlachos', 'A Ajalloeian', 'N Liu']",ACM Transactions on …,2024.0,"where a  is the vector of the neuron values in layer  , b  is the bias of the layer, W  is  the weight matrix of the layer. A Rectiied Linear Unit (ReLU) function is used as the activation",https://dl.acm.org/doi/abs/10.1145/3637873
Google,,"A review of movie recommendation system: Limitations, Survey and Challenges","['M Goyani', 'N Chaurasiya']",ELCVIA: electronic letters on computer vision …,2020.0,pass those results to collaborative recommender (and vice-versa It is also seen that by using  SVD in recommender system tackle  It also faces popularity bias problem. It becomes a case,https://ddd.uab.cat/record/232276
Google,,A Click-Through Rate Prediction Method Based on Cross-Importance of Multi-Order Features,"['H Wang', 'N Li']",arXiv preprint arXiv:2405.08852,2024.0,"of books by users from the BookCrossing community, and also  The KuaiRec-big dataset  [20] is a recommender system  , KuaiRec-big and Book-Crossing, to conduct a comprehensive",https://arxiv.org/abs/2405.08852
Google,,Tallrec: An effective and efficient tuning framework to align large language model with recommendation,"['K Bao', 'J Zhang', 'Y Zhang', 'W Wang', 'F Feng']",… on Recommender …,2023.0,dataset processed from BookCrossing [71]. The BookCrossing dataset has user ratings (110)   3) Traditional recommender methods consistently yield inferior performance under our few-,https://dl.acm.org/doi/abs/10.1145/3604915.3608857
Google,,Demystifying graph neural networks in recommender systems,['H Ji'],,2021.0,"field of recommender systems. This thesis presents our study of GNNs, which are employed  in the recommender  hardware mechanisms to optimize GNN-based recommender systems.",https://www.ideals.illinois.edu/items/123280
Google,,Overview of the CLEF 2015 Social Book Search Lab,"['H Huurdeman', 'J Kamps', 'M Skov', 'E Toms', 'D Walsh']",Experimental IR Meets …,,of book retrieval and recommender systems. The aim of the  on the Amazon/LibraryThing  corpus of book descriptions that  automatically balanced to minimise bias in the resulting data.,https://link.springer.com/content/pdf/10.1007/978-3-319-24027-5.pdf#page=558
Google,,Prompting large language models for recommender systems: A comprehensive framework and empirical analysis,"['L Xu', 'J Zhang', 'B Li', 'J Wang', 'M Cai', 'WX Zhao']",arXiv preprint arXiv …,2024.0,"strategies to alleviate order perception and position bias issues of LLMs. ChatRec [20]  and  For the MovieLens-1M dataset, the rating threshold is 4, and we set 5 for the Amazon-Books",https://arxiv.org/abs/2401.04997
Google,,Generalized negative sampling for implicit feedback in recommendation,"['Y Yamanaka', 'K Sugiyama']",IEEE/WIC/ACM International Conference on …,2021.0,"We report the results on Amazon-Books only in Figure 1 as we observe similar trends on   In our method, we use the recommender model itself as classification model in a sampler (ie,",https://dl.acm.org/doi/abs/10.1145/3486622.3493998
Google,,Finding and analysing good neighbourhoods to improve collaborative filtering,"['D Valcarce', 'J Parapar', 'Á Barreiro']",Knowledge-Based Systems,2018.0,"the performance of a memory-based recommender, we can build an oracle  LibraryThing  datasets using different techniques for computing neighbourhoods and WSR as recommender",https://www.sciencedirect.com/science/article/pii/S095070511830340X
Google,,Practical perspectives of consumer fairness in recommendation,"['L Boratto', 'G Fenu', 'M Marras', 'G Medda']",Information Processing & …,2023.0,"To lay the foundations for the perception of consumer fairness in the recommender system   (eg, due to the popularity bias recommender systems often emphasize) and the stakeholders",https://www.sciencedirect.com/science/article/pii/S0306457322003090
Google,,Represent items by items: An enhanced representation of the target item for recommendation,"['Y Cai', 'Z Cui', 'S Wu', 'Z Lei', 'X Ma']",arXiv preprint arXiv:2104.12483,2021.0,"applications such as recommender system and online  are respectively the weight matrix and  bias vector which are trainable  datasets: AmazonBeauty and Amazon-Books, which vary in",https://arxiv.org/abs/2104.12483
Google,,Recommender systems and the social web: Leveraging tagging data for recommender systems,['F Gedikli'],,2013.0,"help of recommender systems. Throughout this thesis, we will look at the whole recommender   Therefore, when designing an experiment care has to be taken to ensure that no bias is",https://books.google.com/books?hl=en&lr=&id=YWVEAAAAQBAJ&oi=fnd&pg=PP6&dq=(%22book-crossing%22+OR+%22bookcrossing%22+OR+%22Librarything%22+OR+%22Amazon+books%22+OR+%22Goodreads%22+OR+%22Goodbooks%22+)(%22bias%22)+(%22recommender%22)&ots=OUmTxll0qg&sig=m4njINxzjWNP0z8l3rLm6c8KI60
Google,,Graph-based recommendation in broad folksonomies,['R Wetzker'],,2010.0,"evaluate recommender systems. However, in accordance with most work on recommender  systems We attribute this bias to the fact that, even though users agree on some characteristic",https://depositonce.tu-berlin.de/bitstream/11303/2795/2/Dokument_7.pdf
Google,,Knowledge-aware graph neural networks with label smoothness regularization for recommender systems,"['H Wang', 'F Zhang', 'M Zhang', 'J Leskovec']",Proceedings of the 25th …,2019.0,"To provide better inductive bias, we rely on label smoothness assumption, which posits that   -20M, while no threshold is set for BookCrossing and Last.FM due to their data sparsity.",https://dl.acm.org/doi/abs/10.1145/3292500.3330836
Google,,Highway Service Areas Recommendation System with Collaborative Filtering using Channel Attention Module based Graph Convolutional Neural Network,"['P Yang', 'C Che', 'L Zhao', 'Z Zhang']",2024 Second International …,2024.0,"AToys, Amazon AMusic and Goodbooks-10k are utilized to  and significant model in a  recommender system area [2].  data sample through reducing the bias of input redevelopment. In",https://ieeexplore.ieee.org/abstract/document/10594372/
Google,,Research and Implementation of Recommendation System Based on Neural Network,"['Z Hai', 'H Hongyan']",2023 IEEE 7th Information Technology and …,2023.0,"To address this issue, individuals have introduced recommender  The parameters w and  b represent the weight and bias,  The Book-Crossing dataset comprises explicit ratings for",https://ieeexplore.ieee.org/abstract/document/10292091/
Google,,Deep Graph Embeddings in Recommender Systems,['CL Soon'],,2019.0,"graph embeddings for recommender systems. We propose an extension to bias training of   With permission, [86] has crawled BookCrossing to collect book recommendation data for",https://search.proquest.com/openview/1ff041db457f0bcf84b0c6736e8045fe/1?pq-origsite=gscholar&cbl=18750&diss=y
Google,,Social Web Artifacts for Boosting Recommenders,['CN Ziegler'],,2013.0,"to understand how the early recommender tools could be  The key insight in this work is  that even once a recommender  All Consuming and BookCrossing community, respectively.",https://link.springer.com/content/pdf/10.1007/978-3-319-00527-0.pdf
Google,,An improved ALS recommendation model based on apache spark,"['MF Aljunid', 'DH Manjaiah']","… Conference, ICSCS 2018, Kollam, India, April …",2018.0,"Recommender Systems (RS) have become very imperative in several fields such as e-commerce,  and social media networking. In recommender  , Movielene and Book-crossing on big",https://link.springer.com/chapter/10.1007/978-981-13-1936-5_33
Google,,Exploiting performance estimates for augmenting recommendation ensembles,"['G Penha', 'RLT Santos']",… of the 14th ACM Conference on Recommender …,2020.0,"-level relevance scale after correcting for the user bias ru . Precisely, we define relevance level  2  Due to space limitations, in Table 5, we report the results only for Amazon Books, which",https://dl.acm.org/doi/abs/10.1145/3383313.3412264
Google,,Multimodal representation learning for recommendation in Internet of Things,"['Z Huang', 'X Xu', 'J Ni', 'H Zhu']",IEEE Internet of Things …,2019.0,"A recommender system is an effective way to solve this problem  on the dataset BookCrossing.  It is mainly due to the fact that  Xiong, “Exploiting the sentimental bias between ratings and",https://ieeexplore.ieee.org/abstract/document/8832204/
Google,,Report on evaluation of recommendations generated by spreading activation,"['B Heitmann', 'C Hayes']",,2013.0,"The user profile can be domain specific, eg a GoodReads list  used for the majority of  recommender systems research. This is  However, there is a strong bias towards the years 1993 to",https://www.researchgate.net/profile/Benjamin-Heitmann/publication/237020679_Technical_Report_on_evaluation_of_recommendations_generated_by_spreading_activation/links/02e7e51af203dbf8da000000/Technical-Report-on-evaluation-of-recommendations-generated-by-spreading-activation.pdf
Google,,Feature-based opinion mining approach (FOMA) for improved book recommendation,"['SS Sohail', 'J Siddiqui', 'R Ali']",Arabian Journal for Science and Engineering,2018.0,"Since recommender systems help in providing items of users The problem with the existing  recommender technique is that  , ie, it may lead to a bias opinion. Since we are interested in",https://link.springer.com/article/10.1007/s13369-018-3282-3
Google,,Deep edu: a deep neural collaborative filtering for educational services recommendation,"['F Ullah', 'B Zhang', 'RU Khan', 'TS Chung', 'M Attique']",IEEE …,2020.0,"as a unique, fully connected layer with bias term. In particular, embedding executes one-hot   For a fair comparison, we use an open-source SuperLib library in GitHub for Recommender",https://ieeexplore.ieee.org/abstract/document/9117112/
Google,,HyperTeNet: Hypergraph and Transformer-based Neural Network for Personalized List Continuation,"['D Hada', 'S Shevade']",arXiv preprint arXiv:2110.01467,2021.0,"Goodreads requires a recommender system that automatically recommends a list of books for  user-generated themes. In recommender  Also, we drop all the bias weight vectors from the",https://arxiv.org/abs/2110.01467
Google,,Fair Projections as a Means Towards Balanced Recommendations,"['A Anagnostopoulos', 'L Becchetti', 'M Böhm']",ACM Transactions on …,2018.0,This is because of the existence of underlying bias in the  1 presents plots obtained from  Amazon books on US politics [62].  paper does not give a recommender system that exposes the,https://dl.acm.org/doi/abs/10.1145/3664929
Google,,Improving content retrievability in search with controllable query generation,"['G Penha', 'E Palumbo', 'M Aziz', 'A Wang']",Proceedings of the ACM …,2023.0,"been studied from the perspective of recommender systems [1, 42],  CtrlQGen we reduce the  retrievability bias by 10% in terms of  Since the Goodreads dataset does not have any set of",https://dl.acm.org/doi/abs/10.1145/3543507.3583261
Google,,"You can lead them to water, but you can't make them drink: using crowd sourcing to lead library patrons to extended library services relevant to their search criteria","['WB Lund', 'C Hansen']",,2011.0,"a subject guide recommender system, which recommends  of LibraryThing and to the  contributors to LibraryThing for the  Both of these problems would likely bias the usage numbers.",https://alair.ala.org/bitstream/11213/18260/1/you_can_lead_them.pdf
Google,,Exploring high-order user preference on the knowledge graph for recommender systems,"['H Wang', 'F Zhang', 'J Wang', 'M Zhao', 'W Li']",ACM Transactions on …,2019.0,"where W and b are transformation weight and bias, respectively,  For MovieLens-20M and  Book-Crossing, we use the ID  For MovieLens20M and Book-Crossing, we first select a subset",https://dl.acm.org/doi/abs/10.1145/3312738
Google,,Pursuing Privacy and Personalization in Recommender Systems: The Role of Federated Learning,['A Ferrara'],,2022.0,"Three bias metrics will be used in this dissertation to evaluate the degree of underrepresentation  of items from the long-tail. The first metric, whose abbreviation is ACLT, measures the",https://tesidottorato.depositolegale.it/handle/20.500.14242/64440
Google,,Semantics-aware autoencoder,"['V Bellini', 'T Di Noia', 'E Di Sciascio', 'A Schiavone']",IEEE Access,2019.0,"Recommender Systems (RSs) have become pervasive tools  Music datasets, while on  LibraryThing the achieved results are  the LibraryThing dataset is highly affected by popularity bias",https://ieeexplore.ieee.org/abstract/document/8897546/
Google,,Performance of Recommender Algorithms on Top-N Recommendation Tasks,"['GV Carmona', 'E Heindl']",,,,missing
Google,,An Interpretable Model for Collaborative Filtering Using an Extended Latent Dirichlet Allocation Approach,"['F Wilhelm', 'M Mohr', 'L Michiels']",The International FLAIRS …,2022.0,"This also applies to the area of recommender systems, where  We can remedy this by including  an item bias term in the  even negative in the case of Goodbooks. Looking at the median",https://journals.flvc.org/FLAIRS/article/view/130567
Google,,Spatial autoregressive coding for graph neural recommendation,"['J Zheng', 'L Yang', 'H Wang', 'C Yang', 'Y Li', 'X Hu']",arXiv preprint arXiv …,2022.0,to model the interactions in recommender systems can obtain  are prone to be affected by  sampling bias. • Some deep models  data of Yelp and Book-Crossing without pruning. Datasets,https://arxiv.org/abs/2205.09489
Google,,Reducing noise-triplets via differentiable sampling for knowledge-enhanced recommendation with collaborative signal guidance,"['H Duan', 'X Liang', 'Y Zhu', 'Z Zhu', 'P Liu']",Neurocomputing,2023.0,"An excellent recommender system is able to supply users  where W and b are trainable  transformation weight and bias,  significantly improved on the Book-Crossing dataset, which the A",https://www.sciencedirect.com/science/article/pii/S0925231223008949
Google,,Not all memories created equal: Dynamic user representations for collaborative filtering,"['K Gaiger', 'O Barkan', 'S Tsipory-Samuel']",Ieee …,2023.0,Collaborative filtering methods for recommender  in the Moviesdat and Amazon  Books datasets is attributed to  the bias values of each model by the maximal bias value in,https://ieeexplore.ieee.org/abstract/document/10090935/
Google,,An application of differential evolution algorithm-based restricted Boltzmann machine to recommendation systems,"['RJ Kuo', 'JT Chen']",Journal of Internet Technology,2020.0,"When update RBM’s weight and bias, it use all data as an  When update RBM’s weight  and bias, it use separate all into  Table 3 shows the best parameter setting for Book-crossing",https://jit.ndhu.edu.tw/article/viewFile/2290/2304
Google,,Something Just Like This: A Secret History of the Role of Analogues in Information Seeking,"['H Zhang', 'D Mckay', 'M Twidale']",Proceedings of the 2024 …,2024.0,"Our work can support the development of recommender systems , which may be  subject to recall bias, we chose to focus  chosen analogue book, eg “List with this book (Goodreads)”.",https://dl.acm.org/doi/abs/10.1145/3627508.3638317
Google,,A recommendation strategy integrating higher-order feature interactions with knowledge graphs,"['Y Lin', 'S Du', 'Y Zhang', 'K Duan', 'Q Huang', 'P An']",IEEE Access,2022.0,"Presently, the application of knowledge graph feature learning to recommender systems is   FM and BookCrossing, we consider positive implicit feedback when the user’s score for the",https://ieeexplore.ieee.org/abstract/document/9940962/
Google,,Towards measuring fairness in grid layout in recommender systems,"['A Raj', 'MD Ekstrand']",arXiv preprint arXiv:2309.10271,2023.0,1 INTRODUCTION Recommender systems may induce unfair  reflecting societal or historical  bias such as prioritizing items  space limitations we show results from GoodReads dataset.,https://arxiv.org/abs/2309.10271
Google,,Knowledge-aware Dual-Channel graph neural networks for denoising recommendation,"['H Zhang', 'L Wang', 'Z Sun', 'X Li']",The Computer Journal,2024.0,"Knowledge graph (KG) is introduced as side information into recommender systems,  which can alleviate the sparsity and cold start problems in collaborative filtering. Existing",https://academic.oup.com/comjnl/article-abstract/67/5/1607/7241315
Google,,Deployable and continuable meta-learning-based recommender system with fast user-incremental updates,"['R Guan', 'H Pang', 'F Giunchiglia', 'X Li', 'X Yang']",Proceedings of the 45th …,2022.0,"where 𝑊 and 𝑏 represent the weight matrices and bias vectors, respectively, 𝜎 is the sigmoid   To evaluate DCMR in different scenarios, we treat MovieLens-1M and Bookcrossing as",https://dl.acm.org/doi/abs/10.1145/3477495.3531964
Google,,Sequential recommendation through graph neural networks and transformer encoder with degree encoding,"['S Wang', 'X Li', 'X Kou', 'J Zhang', 'S Zheng', 'J Wang']",Algorithms,2021.0,graph convolutional network transformer recommender (GCNTRec).  b 1 and b 2 are the bias.  We concatenated the item feature  user ratings in the Book-Crossing community. It contains,https://www.mdpi.com/1999-4893/14/9/263
Google,,Improving Collaborative Filter Using BERT,"['R Rwedhi', 'S Al-augby']",Journal of Kufa for Mathematics and Computer,2023.0,"work effectively for new recommender systems. Furthermore,  preferences, they incorporated  bias into their rating prediction  has been performed on The Book-Crossing dataset, which",https://www.iasj.net/iasj/download/7fc4f41bdf85c953
Google,,A Rating Prediction Recommendation Model Combined with the Optimizing Allocation for Information Granularity of Attributes,"['J Li', 'Y Wang', 'Z Tao']",Information,2022.0,"W 1 and b 1 are the weight and bias of the first layer of a  We hope LNNSR can provide a  new idea to recommender  Especially in the experimental results of the Book-Crossing dataset,",https://www.mdpi.com/2078-2489/13/1/21
Google,,Metadata and Review Based Hybrid Apparel Recommendation System Using Cascaded Large Language Models,"['SS Roy', 'A Kumar', 'RS Kumar']",IEEE Access,2024.0,"In this work, we introduce a Hybrid Recommender System  the MovieLens 1M and Goodreads  datasets. Evaluation using  neutral and negative, b0 is the bias or intercept term and b1 is",https://ieeexplore.ieee.org/abstract/document/10681511/
Google,,On the effects of aggregation strategies for different groups of users in venue recommendation,"['P Sánchez', 'A Bellogín']",Information Processing & Management,2021.0,"A possible explanation for this effect is the popularity bias, which is an important component  of the PGN algorithm. As we observe in these results, the pure popularity recommender (Pop",https://www.sciencedirect.com/science/article/pii/S0306457321001059
Google,,Performance evaluation of ensemble based recommendation system using biased matrix factorization and content based filtering,['J Deogirikar'],,2020.0,system combine output of multiple base recommender model into one hybrid recommender   of one recommender system is bias by output of previous applied recommender system and,https://esource.dbs.ie/bitstreams/d1c9c1e3-5d1d-4fba-a45d-261f34458bb7/download
Google,,Recommender Systems Based on Deep Learning Techniques,['FIG Colaço'],,2020.0,"Goodreads is a collection of huge data sets containing user ratings ( bias as much as  possible. This process is called negative sampling, and should be done so that the recommender",https://search.proquest.com/openview/3f07ff823f8e2de42e7ceaee3e7f6cf4/1?pq-origsite=gscholar&cbl=2026366&diss=y
Google,,Top-Personalized-K Recommendation,"['W Kweon', 'SK Kang', 'S Jang', 'H Yu']",Proceedings of the ACM on Web …,2024.0,solution to obtain accurate interaction probabilities with an arbitrary recommender model.   Amazon Books with BPR as a base model and F1 as a target utility. Real-world recommender,https://dl.acm.org/doi/abs/10.1145/3589334.3645417
Google,,Batch-Mix Negative Sampling for Learning Recommendation Retrievers,"['Y Fan', 'J Chen', 'Y Jiang', 'D Lian', 'F Guo']",Proceedings of the 32nd …,2023.0,"recommender retrievers. To better approximate the softmax distribution with limited in-batch  items, correct-sfx [27] corrects the sampling bias  as the basic recommender for retrieval task",https://dl.acm.org/doi/abs/10.1145/3583780.3614789
Google,,An Integration Method for Heterogeneous Feedback in the Recommender System Considering the Trade-Off between Them,"['SJ Lee', 'E Lee', 'YD Seo']",Available at SSRN 4261643,,"On Douban, Dianping, and Goodreads, our method improved over the strongest baselines  ( propose a method to combine all feedback without bias toward any feedback type. In addition",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4261643
